#Step       Time (ps)  Kinetic (Eh)    Potential (Eh)        Total (Eh)     Temp. (K)    Restraint (Eh)
 0             0.0000    0.00000000      -15.63427795      -15.63427795          0.00        0.00000000
 1             0.0001    0.12895682      -15.63433527      -15.50537845        319.38        0.00000000
 2             0.0002    0.12392530      -15.63367973      -15.50975443        306.92        0.00000000
 3             0.0003    0.12049480      -15.63395005      -15.51345525        298.43        0.00000000
 4             0.0004    0.10499929      -15.63439789      -15.52939860        260.05        0.00000000
 5             0.0005    0.13563299      -15.63452990      -15.49889691        335.92        0.00000000
 6             0.0006    0.14263195      -15.63493735      -15.49230540        353.25        0.00000000
 7             0.0007    0.13756022      -15.63460479      -15.49704458        340.69        0.00000000
 8             0.0008    0.11507057      -15.63464783      -15.51957726        284.99        0.00000000
 9             0.0009    0.11682529      -15.63464790      -15.51782261        289.34        0.00000000
 10            0.0010    0.11494532      -15.63433929      -15.51939397        284.68        0.00000000
 11            0.0011    0.10504629      -15.63450544      -15.52945915        260.16        0.00000000
 12            0.0012    0.11377283      -15.63480550      -15.52103267        281.78        0.00000000
 13            0.0013    0.11818159      -15.63502590      -15.51684431        292.70        0.00000000
 14            0.0014    0.12045142      -15.63530396      -15.51485254        298.32        0.00000000
 15            0.0015    0.12752941      -15.63504178      -15.50751236        315.85        0.00000000
 16            0.0016    0.11528806      -15.63474860      -15.51946054        285.53        0.00000000
 17            0.0017    0.13512890      -15.63435649      -15.49922759        334.67        0.00000000
 18            0.0018    0.13564415      -15.63474007      -15.49909592        335.95        0.00000000
 19            0.0019    0.11832403      -15.63413702      -15.51581299        293.05        0.00000000
 20            0.0020    0.10134121      -15.63443872      -15.53309751        250.99        0.00000000
 21            0.0021    0.12189030      -15.63412879      -15.51223850        301.88        0.00000000
 22            0.0022    0.11013524      -15.63346377      -15.52332854        272.77        0.00000000
 23            0.0023    0.10904799      -15.63349008      -15.52444209        270.08        0.00000000
 24            0.0024    0.12134933      -15.63313613      -15.51178680        300.54        0.00000000
 25            0.0025    0.14055061      -15.63403514      -15.49348454        348.10        0.00000000
 26            0.0026    0.12882329      -15.63360204      -15.50477876        319.05        0.00000000
 27            0.0027    0.12882662      -15.63371079      -15.50488417        319.06        0.00000000
 28            0.0028    0.14403450      -15.63345415      -15.48941965        356.73        0.00000000
 29            0.0029    0.11006777      -15.63324108      -15.52317331        272.60        0.00000000
 30            0.0030    0.12603973      -15.63336008      -15.50732034        312.16        0.00000000
 31            0.0031    0.12211064      -15.63320800      -15.51109736        302.43        0.00000000
 32            0.0032    0.11726681      -15.63348364      -15.51621683        290.43        0.00000000
 33            0.0033    0.13683499      -15.63357596      -15.49674098        338.89        0.00000000
 34            0.0034    0.11098039      -15.63355548      -15.52257510        274.86        0.00000000
 35            0.0035    0.12194259      -15.63391779      -15.51197520        302.01        0.00000000
 36            0.0036    0.12755028      -15.63347873      -15.50592845        315.90        0.00000000
 37            0.0037    0.11583175      -15.63373004      -15.51789829        286.88        0.00000000
 38            0.0038    0.11865974      -15.63366782      -15.51500808        293.88        0.00000000
 39            0.0039    0.13349842      -15.63387797      -15.50037955        330.63        0.00000000
 40            0.0040    0.11277072      -15.63300455      -15.52023383        279.30        0.00000000
 41            0.0041    0.11845255      -15.63256008      -15.51410753        293.37        0.00000000
 42            0.0042    0.10993383      -15.63251944      -15.52258562        272.27        0.00000000
 43            0.0043    0.11068903      -15.63238920      -15.52170017        274.14        0.00000000
 44            0.0044    0.11288280      -15.63238029      -15.51949749        279.57        0.00000000
 45            0.0045    0.12374169      -15.63228498      -15.50854329        306.47        0.00000000
 46            0.0046    0.10971874      -15.63257427      -15.52285553        271.74        0.00000000
 47            0.0047    0.11015994      -15.63241645      -15.52225651        272.83        0.00000000
 48            0.0048    0.13864863      -15.63224542      -15.49359679        343.39        0.00000000
 49            0.0049    0.11282694      -15.63212955      -15.51930261        279.43        0.00000000
 50            0.0050    0.12585441      -15.63259924      -15.50674483        311.70        0.00000000
 51            0.0051    0.10564716      -15.63271693      -15.52706977        261.65        0.00000000
 52            0.0052    0.12403169      -15.63276166      -15.50872997        307.19        0.00000000
 53            0.0053    0.12406369      -15.63264757      -15.50858387        307.26        0.00000000
 54            0.0054    0.10830448      -15.63246190      -15.52415742        268.23        0.00000000
 55            0.0055    0.12402170      -15.63328558      -15.50926388        307.16        0.00000000
 56            0.0056    0.12893395      -15.63336810      -15.50443415        319.33        0.00000000
 57            0.0057    0.11711319      -15.63367189      -15.51655870        290.05        0.00000000
 58            0.0058    0.12946136      -15.63403657      -15.50457522        320.63        0.00000000
 59            0.0059    0.13133986      -15.63405378      -15.50271392        325.29        0.00000000
 60            0.0060    0.12814683      -15.63357734      -15.50543051        317.38        0.00000000
 61            0.0061    0.12960699      -15.63350162      -15.50389463        320.99        0.00000000
 62            0.0062    0.13126156      -15.63331926      -15.50205771        325.09        0.00000000
 63            0.0063    0.12212683      -15.63307794      -15.51095111        302.47        0.00000000
 64            0.0064    0.13650516      -15.63341186      -15.49690670        338.08        0.00000000
 65            0.0065    0.13094569      -15.63350980      -15.50256411        324.31        0.00000000
 66            0.0066    0.12188257      -15.63299127      -15.51110870        301.86        0.00000000
 67            0.0067    0.11372341      -15.63358522      -15.51986182        281.65        0.00000000
 68            0.0068    0.12922166      -15.63344003      -15.50421837        320.04        0.00000000
 69            0.0069    0.12291847      -15.63321058      -15.51029211        304.43        0.00000000
 70            0.0070    0.12674548      -15.63330679      -15.50656131        313.91        0.00000000
 71            0.0071    0.12625373      -15.63302556      -15.50677183        312.69        0.00000000
 72            0.0072    0.11003124      -15.63254490      -15.52251366        272.51        0.00000000
 73            0.0073    0.12053315      -15.63236718      -15.51183403        298.52        0.00000000
 74            0.0074    0.13004899      -15.63214012      -15.50209113        322.09        0.00000000
 75            0.0075    0.11422976      -15.63243661      -15.51820685        282.91        0.00000000
 76            0.0076    0.12305554      -15.63239590      -15.50934035        304.77        0.00000000
 77            0.0077    0.13679851      -15.63185537      -15.49505686        338.80        0.00000000
 78            0.0078    0.13874556      -15.63177698      -15.49303143        343.63        0.00000000
 79            0.0079    0.14400163      -15.63158145      -15.48757982        356.64        0.00000000
 80            0.0080    0.12998417      -15.63168293      -15.50169876        321.93        0.00000000
 81            0.0081    0.11275327      -15.63195793      -15.51920466        279.25        0.00000000
 82            0.0082    0.12596250      -15.63186288      -15.50590038        311.97        0.00000000
 83            0.0083    0.12596328      -15.63197984      -15.50601655        311.97        0.00000000
 84            0.0084    0.13012033      -15.63203134      -15.50191101        322.26        0.00000000
 85            0.0085    0.11940626      -15.63236229      -15.51295604        295.73        0.00000000
 86            0.0086    0.12564934      -15.63196355      -15.50631421        311.19        0.00000000
 87            0.0087    0.12574969      -15.63200209      -15.50625240        311.44        0.00000000
 88            0.0088    0.11769931      -15.63201251      -15.51431320        291.50        0.00000000
 89            0.0089    0.13639120      -15.63178298      -15.49539178        337.80        0.00000000
 90            0.0090    0.10560557      -15.63117642      -15.52557085        261.55        0.00000000
 91            0.0091    0.11584459      -15.63096681      -15.51512222        286.91        0.00000000
 92            0.0092    0.11557208      -15.63092946      -15.51535738        286.23        0.00000000
 93            0.0093    0.11462267      -15.63092454      -15.51630187        283.88        0.00000000
 94            0.0094    0.10524940      -15.63071781      -15.52546840        260.67        0.00000000
 95            0.0095    0.11749956      -15.63108541      -15.51358585        291.01        0.00000000
 96            0.0096    0.11969701      -15.63060560      -15.51090859        296.45        0.00000000
 97            0.0097    0.12889022      -15.63057759      -15.50168737        319.22        0.00000000
 98            0.0098    0.10692819      -15.63065418      -15.52372598        264.83        0.00000000
 99            0.0099    0.10918390      -15.63135688      -15.52217298        270.41        0.00000000
 100           0.0100    0.11661284      -15.63129471      -15.51468187        288.81        0.00000000
 101           0.0101    0.12525372      -15.63143738      -15.50618366        310.21        0.00000000
 102           0.0102    0.11108815      -15.63205613      -15.52096798        275.13        0.00000000
 103           0.0103    0.12544316      -15.63235210      -15.50690895        310.68        0.00000000
 104           0.0104    0.11883267      -15.63256252      -15.51372985        294.31        0.00000000
 105           0.0105    0.09433784      -15.63269251      -15.53835467        233.64        0.00000000
 106           0.0106    0.12643659      -15.63308578      -15.50664919        313.14        0.00000000
 107           0.0107    0.11360473      -15.63256153      -15.51895680        281.36        0.00000000
 108           0.0108    0.12585269      -15.63296097      -15.50710828        311.70        0.00000000
 109           0.0109    0.12495266      -15.63283336      -15.50788070        309.47        0.00000000
 110           0.0110    0.11850804      -15.63287968      -15.51437163        293.50        0.00000000
 111           0.0111    0.10168453      -15.63267711      -15.53099258        251.84        0.00000000
 112           0.0112    0.11915330      -15.63247868      -15.51332538        295.10        0.00000000
 113           0.0113    0.10556232      -15.63231394      -15.52675162        261.44        0.00000000
 114           0.0114    0.11287455      -15.63231445      -15.51943989        279.55        0.00000000
 115           0.0115    0.13680807      -15.63171044      -15.49490237        338.83        0.00000000
 116           0.0116    0.14685544      -15.63119663      -15.48434119        363.71        0.00000000
 117           0.0117    0.12387785      -15.63137311      -15.50749527        306.80        0.00000000
 118           0.0118    0.12359349      -15.63150999      -15.50791650        306.10        0.00000000
 119           0.0119    0.13504432      -15.63187018      -15.49682586        334.46        0.00000000
 120           0.0120    0.12246506      -15.63113226      -15.50866719        303.31        0.00000000
 121           0.0121    0.10859907      -15.63065317      -15.52205410        268.96        0.00000000
 122           0.0122    0.11707326      -15.63095800      -15.51388474        289.95        0.00000000
 123           0.0123    0.10916105      -15.63093102      -15.52176996        270.36        0.00000000
 124           0.0124    0.10135809      -15.63083792      -15.52947983        251.03        0.00000000
 125           0.0125    0.11201472      -15.63045881      -15.51844409        277.42        0.00000000
 126           0.0126    0.10593454      -15.63070522      -15.52477068        262.36        0.00000000
 127           0.0127    0.13554343      -15.63044382      -15.49490039        335.70        0.00000000
 128           0.0128    0.11949520      -15.62971839      -15.51022319        295.95        0.00000000
 129           0.0129    0.12400834      -15.62954096      -15.50553261        307.13        0.00000000
 130           0.0130    0.13112637      -15.62970142      -15.49857505        324.76        0.00000000
 131           0.0131    0.11981037      -15.62975875      -15.50994838        296.73        0.00000000
 132           0.0132    0.12617800      -15.62943474      -15.50325674        312.50        0.00000000
 133           0.0133    0.13214209      -15.62942648      -15.49728438        327.27        0.00000000
 134           0.0134    0.13374018      -15.62942567      -15.49568549        331.23        0.00000000
